epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8208,3.03784,3.416,4.04011,0.34058,0.21081,0.16812,0.04909,2.47643,3.99908,4.09969,0.000662037,0.000662037,0.000662037
2,58.8163,2.74576,2.79401,3.2668,0.19438,0.38919,0.14464,0.04718,2.21936,2.96614,3.04797,0.0013024,0.0013024,0.0013024
3,95.7101,2.30916,2.22557,2.77504,0.69628,0.69189,0.73011,0.28002,1.8679,2.20494,2.62015,0.00191635,0.00191635,0.00191635
4,140.507,1.99888,1.81322,2.41297,0.7407,0.67941,0.75628,0.37967,1.64505,1.78253,2.36267,0.0018812,0.0018812,0.0018812
5,166.858,1.80726,1.6191,2.23361,0.80539,0.71351,0.79712,0.43948,1.48947,1.43561,2.19553,0.0018416,0.0018416,0.0018416
6,209.785,1.69987,1.51541,2.13682,0.8205,0.74126,0.82527,0.48877,1.42255,1.27105,2.14053,0.001802,0.001802,0.001802
7,262.872,1.62131,1.36533,2.04895,0.88896,0.77838,0.87187,0.55148,1.30521,1.56577,1.98225,0.0017624,0.0017624,0.0017624
8,285.534,1.56771,1.30205,1.98504,0.87954,0.8,0.86508,0.5714,1.21194,0.98066,1.88453,0.0017228,0.0017228,0.0017228
9,305.976,1.51236,1.25658,1.91335,0.86154,0.77359,0.89879,0.5886,1.22268,0.95257,1.8823,0.0016832,0.0016832,0.0016832
10,327.637,1.46992,1.17857,1.89223,0.84046,0.85425,0.92051,0.59707,1.16224,0.92979,1.80632,0.0016436,0.0016436,0.0016436
11,349.449,1.40542,1.12858,1.82787,0.91758,0.78919,0.91108,0.60024,1.1414,0.96509,1.80192,0.001604,0.001604,0.001604
12,384.68,1.36225,1.0709,1.79764,0.92788,0.8345,0.9389,0.64002,1.1076,0.79457,1.74986,0.0015644,0.0015644,0.0015644
13,419.136,1.30997,1.00819,1.75086,0.96826,0.82446,0.91423,0.65707,1.02539,0.81988,1.66499,0.0015248,0.0015248,0.0015248
14,462.23,1.307,1.00645,1.75084,0.96268,0.8367,0.94758,0.67108,1.05422,0.77679,1.67959,0.0014852,0.0014852,0.0014852
15,523.637,1.26992,0.96217,1.72259,0.93126,0.8973,0.9611,0.68546,1.02234,0.69642,1.62866,0.0014456,0.0014456,0.0014456
16,578.829,1.24856,0.92326,1.69593,0.92268,0.8385,0.92302,0.65645,1.05743,0.82551,1.65114,0.001406,0.001406,0.001406
17,607.575,1.21843,0.91136,1.68085,0.95966,0.87027,0.96248,0.71155,0.95368,0.67938,1.56166,0.0013664,0.0013664,0.0013664
18,657.85,1.22757,0.90922,1.67922,0.9612,0.81081,0.92324,0.65425,1.08729,0.75758,1.70088,0.0013268,0.0013268,0.0013268
19,696.534,1.18465,0.85903,1.63705,0.96305,0.87568,0.96285,0.7049,0.94205,0.6266,1.56252,0.0012872,0.0012872,0.0012872
20,721.853,1.16789,0.86403,1.63331,0.95752,0.90811,0.97277,0.72369,0.93478,0.58404,1.53359,0.0012476,0.0012476,0.0012476
