epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9429,4.46674,5.34766,4.00807,0,0,0,0,4.98849,4.86212,4.20451,0.000648148,0.000648148,0.000648148
2,25.7956,3.58874,3.96012,3.21296,0,0,0,0,5.21897,5.22101,4.5642,0.0013018,0.0013018,0.0013018
3,35.4555,3.04139,2.99671,2.68024,0.00017,0.02667,1e-05,0,5.08345,5.16282,4.52662,0.00194225,0.00194225,0.00194225
4,45.0215,2.76475,2.52849,2.54361,0.34894,0.33333,0.24819,0.08371,2.91458,2.50586,2.88447,0.0019406,0.0019406,0.0019406
5,54.3274,2.46607,2.01203,2.21479,0.46471,0.29333,0.29198,0.11479,2.42735,2.36203,2.78711,0.0019208,0.0019208,0.0019208
6,63.7016,2.19696,1.78393,2.04969,0.72226,0.65333,0.6678,0.2893,2.04779,1.59789,2.09445,0.001901,0.001901,0.001901
7,80.9122,2.14761,1.67115,2.02534,0.78165,0.64,0.75229,0.35836,1.93949,1.46715,2.00505,0.0018812,0.0018812,0.0018812
8,100.57,2.07235,1.58908,1.91706,0.88315,0.66667,0.78308,0.35625,1.93556,1.38478,1.91611,0.0018614,0.0018614,0.0018614
9,111.971,2.00766,1.47446,1.84792,0.66806,0.74667,0.67609,0.25586,2.04991,1.51131,1.97212,0.0018416,0.0018416,0.0018416
10,122.22,1.86056,1.33153,1.77664,0.92542,0.74667,0.84613,0.39665,1.82689,1.21327,1.84983,0.0018218,0.0018218,0.0018218
11,133.457,1.93984,1.36975,1.76449,0.96345,0.70307,0.87875,0.49766,1.61035,1.23593,1.70406,0.001802,0.001802,0.001802
12,142.939,1.80255,1.21663,1.70203,0.88752,0.78667,0.88546,0.47153,1.65698,1.06729,1.73675,0.0017822,0.0017822,0.0017822
13,152.798,1.82018,1.25051,1.6379,0.90588,0.81333,0.9181,0.47283,1.63857,1.12943,1.72544,0.0017624,0.0017624,0.0017624
14,162.726,1.74633,1.16717,1.60501,0.89801,0.82185,0.91784,0.51818,1.61805,1.08451,1.70014,0.0017426,0.0017426,0.0017426
15,172.485,1.74613,1.14218,1.63315,0.9501,0.76167,0.91795,0.47879,1.70729,1.11692,1.66664,0.0017228,0.0017228,0.0017228
16,181.611,1.68984,1.12222,1.60649,0.86983,0.86667,0.94189,0.4833,1.69723,1.17477,1.67298,0.001703,0.001703,0.001703
17,190.927,1.65468,1.05876,1.56709,0.96447,0.82667,0.94424,0.5229,1.57759,1.00496,1.59202,0.0016832,0.0016832,0.0016832
18,206.379,1.70043,1.10161,1.57154,0.87593,0.78667,0.90604,0.45275,1.60132,1.11483,1.59686,0.0016634,0.0016634,0.0016634
19,223.43,1.67524,1.04724,1.56377,0.92124,0.81333,0.93239,0.50764,1.58616,0.99157,1.58548,0.0016436,0.0016436,0.0016436
20,232.597,1.53797,0.99596,1.44507,0.88609,0.89333,0.94295,0.52549,1.56798,0.94181,1.58912,0.0016238,0.0016238,0.0016238
21,242.188,1.56769,1.00148,1.5097,0.95671,0.88396,0.96581,0.56812,1.48337,0.85357,1.49574,0.001604,0.001604,0.001604
22,252.717,1.57937,0.96298,1.52165,0.8872,0.96,0.96882,0.53491,1.58545,0.86629,1.56272,0.0015842,0.0015842,0.0015842
23,264.184,1.63848,0.9648,1.55624,0.92669,0.8427,0.9416,0.52671,1.52469,0.89665,1.52317,0.0015644,0.0015644,0.0015644
24,274.005,1.64523,1.07565,1.54293,0.94459,0.90928,0.97424,0.55424,1.49258,0.82522,1.4749,0.0015446,0.0015446,0.0015446
25,295.204,1.55484,0.93962,1.41635,0.93282,0.92569,0.97152,0.57102,1.44942,0.97802,1.48557,0.0015248,0.0015248,0.0015248
26,306.822,1.53676,1.01698,1.51554,0.94797,0.97333,0.98671,0.56417,1.44374,0.78494,1.46552,0.001505,0.001505,0.001505
27,316.244,1.5099,0.89003,1.43751,0.94684,0.96,0.97772,0.58146,1.45557,0.7545,1.43815,0.0014852,0.0014852,0.0014852
28,328.281,1.50545,0.9454,1.41442,0.96216,0.93333,0.96072,0.52508,1.54004,0.90285,1.51774,0.0014654,0.0014654,0.0014654
29,337.202,1.50015,0.85835,1.40703,0.95758,0.94667,0.98209,0.58022,1.46737,0.77215,1.4402,0.0014456,0.0014456,0.0014456
30,347.456,1.47203,0.8417,1.39036,0.94939,0.90667,0.97767,0.5822,1.46387,0.78786,1.45762,0.0014258,0.0014258,0.0014258
31,356.78,1.51566,0.84295,1.39235,0.93293,0.92729,0.95756,0.557,1.46821,0.8411,1.45771,0.001406,0.001406,0.001406
32,366.582,1.47789,0.82213,1.38312,0.96105,0.93333,0.98429,0.59294,1.41889,0.72325,1.40979,0.0013862,0.0013862,0.0013862
33,375.002,1.47631,0.82179,1.41307,0.95851,0.93333,0.97575,0.594,1.46418,0.85188,1.4383,0.0013664,0.0013664,0.0013664
34,383.325,1.48777,0.83761,1.41383,0.91223,0.9701,0.97692,0.57253,1.49648,0.8158,1.45955,0.0013466,0.0013466,0.0013466
35,393.07,1.41085,0.84833,1.35995,0.94667,0.94665,0.98561,0.56938,1.53583,0.7588,1.48069,0.0013268,0.0013268,0.0013268
36,403.718,1.47551,0.82853,1.40281,0.94255,0.97333,0.97989,0.52259,1.62932,0.85727,1.5948,0.001307,0.001307,0.001307
37,413.797,1.43391,0.80485,1.36312,0.93658,0.9846,0.98126,0.55252,1.48934,0.7874,1.45473,0.0012872,0.0012872,0.0012872
38,429.515,1.50728,0.83151,1.41472,0.96037,0.96929,0.98979,0.61629,1.31665,0.73494,1.35667,0.0012674,0.0012674,0.0012674
39,441.916,1.40768,0.81124,1.33634,0.9624,0.93333,0.97819,0.59008,1.40115,0.7171,1.41134,0.0012476,0.0012476,0.0012476
40,451.909,1.39557,0.85129,1.33469,0.92396,0.97212,0.98479,0.62387,1.39296,0.73587,1.41887,0.0012278,0.0012278,0.0012278
41,460.861,1.39841,0.77635,1.33256,0.96066,0.93333,0.98089,0.6054,1.40721,0.74785,1.41009,0.001208,0.001208,0.001208
42,469.55,1.39111,0.81101,1.34767,0.96959,0.93333,0.98546,0.56014,1.51162,0.72084,1.44572,0.0011882,0.0011882,0.0011882
43,477.495,1.38015,0.75355,1.32395,0.9596,0.95024,0.98635,0.60385,1.39017,0.71162,1.36868,0.0011684,0.0011684,0.0011684
44,487.159,1.39048,0.7823,1.38489,0.94712,0.9553,0.98703,0.60404,1.36228,0.72141,1.36754,0.0011486,0.0011486,0.0011486
