epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3230.51,1.95695,1.84628,2.23453,0.94561,0.83951,0.88189,0.48858,1.48644,0.80738,1.43024,0.00999717,0.00333239,0.00999717,0.00333239,0.00999717,0.00333239,0.00999717,0.00333239
2,4813.41,1.21685,0.67673,1.35698,0.97088,0.88097,0.93051,0.60344,1.21603,0.59053,1.2509,0.0180174,0.00600582,0.0180174,0.00600582,0.0180174,0.00600582,0.0180174,0.00600582
3,5477.68,1.18799,0.60665,1.33186,0.97514,0.89157,0.9252,0.60371,1.23677,0.54836,1.25237,0.0240577,0.00801924,0.0240577,0.00801924,0.0240577,0.00801924,0.0240577,0.00801924
4,6138.98,1.14286,0.54897,1.29456,0.97793,0.90934,0.93944,0.63452,1.1642,0.48617,1.20044,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
5,6803.13,1.0917,0.49301,1.25358,0.98337,0.91578,0.94664,0.64228,1.1393,0.45676,1.18874,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
6,7462.22,1.05382,0.45701,1.22733,0.98295,0.91932,0.94868,0.65212,1.11877,0.43929,1.17382,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
7,8129.1,1.02435,0.43313,1.20387,0.9885,0.92164,0.94897,0.65519,1.11379,0.43057,1.1684,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
8,8790.42,0.99287,0.40712,1.18288,0.98791,0.92392,0.95043,0.65916,1.10551,0.42312,1.16232,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
9,9449.77,0.96212,0.385,1.16049,0.98644,0.92346,0.95054,0.65957,1.09874,0.41585,1.15774,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
10,10110.9,0.93089,0.36292,1.13998,0.99009,0.92392,0.95051,0.66061,1.09496,0.41169,1.15594,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
