epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7526,1.09869,1.65497,1.47938,0.53361,0.55676,0.50597,0.18484,1.71071,2.7529,2.6951,0.000662037,0.000662037,0.000662037
2,70.7703,1.13362,1.14469,1.48557,0.70256,0.62564,0.61872,0.27881,1.66743,2.25671,2.35663,0.0013024,0.0013024,0.0013024
3,108.599,1.15906,1.02301,1.50327,0.87041,0.83502,0.90115,0.58158,1.11817,1.21189,1.7085,0.00191635,0.00191635,0.00191635
4,143.629,1.13681,0.89294,1.49534,0.81272,0.77408,0.8584,0.54303,1.22784,1.02716,1.70876,0.0018812,0.0018812,0.0018812
5,171.849,1.10252,0.805,1.45711,0.85089,0.71892,0.81262,0.41603,1.53489,1.2895,2.11663,0.0018416,0.0018416,0.0018416
6,221.038,1.08271,0.78278,1.45343,0.86669,0.87855,0.92089,0.65295,0.98848,0.74426,1.56853,0.001802,0.001802,0.001802
7,258.131,1.04672,0.70458,1.40945,0.92618,0.8816,0.95352,0.64809,1.07505,0.66353,1.60049,0.0017624,0.0017624,0.0017624
8,305.213,1.03835,0.69962,1.41023,0.9314,0.95402,0.97535,0.72055,0.90529,0.59781,1.44125,0.0017228,0.0017228,0.0017228
9,351.073,1.00632,0.66449,1.37542,0.93218,0.92432,0.95571,0.7302,0.91181,0.60854,1.4388,0.0016832,0.0016832,0.0016832
10,372.701,1.01905,0.65768,1.3926,0.95657,0.91351,0.97788,0.7386,0.8733,0.60222,1.4136,0.0016436,0.0016436,0.0016436
11,395.903,0.99105,0.63774,1.36262,0.93333,0.87027,0.93024,0.68851,0.96889,0.65149,1.57181,0.001604,0.001604,0.001604
12,418.062,0.96181,0.60628,1.3576,0.94728,0.97129,0.98895,0.72811,0.89965,0.52598,1.43013,0.0015644,0.0015644,0.0015644
13,458.981,0.94821,0.59819,1.3466,0.96988,0.95676,0.98891,0.78116,0.77515,0.47577,1.30504,0.0015248,0.0015248,0.0015248
14,505.882,0.95491,0.60142,1.33934,0.95783,0.9823,0.98746,0.76446,0.82017,0.46432,1.33166,0.0014852,0.0014852,0.0014852
